key	EN	DE
ui_text_22	Clean	Leeren
ui_text_25	Asset	Anlage
ui_text_26	Useful	Nützlich
ui_text_29	Vehicle assignment	Fahrzeugzuweisung
ui_text_30	Personnel Operations	Personalbetrieb
ui_text_31	Real time	Echtzeit
ui_text_36	Time Management	Zeitmanagement
ui_text_41	User management	Benutzerverwaltung
ui_text_44	Operational Years	Betriebsjahre
ui_text_45	Accountants	Zähler
ui_text_47	Work group management	Arbeitsgruppenverwaltung
ui_text_48	Driver Management	Fahrermanagement
ui_text_49	Absence Settings	Abwesenheitseinstellungen
ui_text_51	Publish Settings	Veröffentlichungseinstellungen
ui_text_54	Task Types and Properties	Aufgabentypen und Eigenschaften
ui_text_56	Turn Rules	Dienstregeln
ui_text_64	Calculation Rules from Travel	Berechnungsregeln aus Fahrten
ui_text_66	Create, edit and delete users from your system.	Erstellen, bearbeiten und löschen Sie Benutzer aus Ihrem System.
ui_text_67	Configure your settings and time zone.	Konfigurieren Sie Ihre Einstellungen und Zeitzone.
ui_text_68	Access records of Integrations and Personnel Assignment Changes.	Zugriff auf Datensätze von Integrationen und Änderungen der Personalzuweisung.
ui_text_69	Defines and manages annual operational planning cycles to organize schedules and resources.	Definiert und verwaltet jährliche operative Planungszyklen zur Organisation von Fahrplänen und Ressourcen.
ui_text_70	Specify the types of days and holidays that will be applied to your product.	Geben Sie die Arten von Tagen und Feiertagen an, die für Ihr Produkt gelten.
ui_text_71	Definition of counters.	Definition von Zählern.
ui_text_73	Create and manage all existing work groups. Consult detailed information and organize your groups within the system.	Erstellen und verwalten Sie alle bestehenden Arbeitsgruppen. Konsultieren Sie detaillierte Informationen und organisieren Sie Ihre Gruppen im System.
ui_text_74	Create, edit and delete drivers from your system.	Erstellen, bearbeiten und löschen Sie Fahrer aus Ihrem System.
ui_text_76	Create and manage your company Rules.	Erstellen und verwalten Sie Ihre Unternehmensregeln.
ui_text_77	Set different settings for solution posts.	Legen Sie verschiedene Einstellungen für Lösungsbeiträge fest.
ui_text_78	Configuring task and driver equivalences between GB.Ops and GoalDriver.	Konfigurieren von Aufgaben- und Fahrer-Äquivalenzen zwischen GB.Ops und GoalDriver.
ui_text_79	Manage the features and information of your Drivers Mobile App.	Verwalten Sie die Funktionen und Informationen Ihrer Fahrer-App.
ui_text_80	Manage driving and non-driving task list and create properties.	Verwalten Sie die Liste der fahrerischen und nicht-fahrerischen Aufgaben und erstellen Sie Eigenschaften.
ui_text_83	Defines shift patterns that comply with regulations, ensure rest and operational efficiency.	Definiert Dienstmuster, die Vorschriften einhalten, Ruhezeiten sicherstellen und die operative Effizienz gewährleisten.
ui_text_84	Records and manages detailed information about the operation carried out by drivers.	Erfasst und verwaltet detaillierte Informationen über den von den Fahrern durchgeführten Betrieb.
ui_text_85	Create and edit vehicle types for your organization.	Erstellen und bearbeiten Sie Fahrzeugtypen für Ihre Organisation.
ui_text_88	Manage the types of vehicle unavailability for your organization	Verwalten Sie die Arten der Fahrzeugunverfügbarkeit für Ihre Organisation.
ui_text_89	Set up your company's vehicle type rules.	Richten Sie die Fahrzeugtypregeln Ihres Unternehmens ein.
ui_text_90	Defines and manages Rule Models for both logical and named Long Distance solutions.	Definiert und verwaltet Regelmodelle sowohl für logische als auch für benannte Fernverkehrslösungen.
ui_text_91	View and edit the types of electric chargers available in your organization.	Anzeigen und Bearbeiten der in Ihrer Organisation verfügbaren Arten von Elektroladegeräten.
ui_text_92	User management	Benutzerverwaltung
ui_text_93	Go to general preferences	Zu den allgemeinen Einstellungen gehen
ui_text_95	Operational Year Management	Betriebsjahresverwaltung
ui_text_96	Day Type Management	Tagestypverwaltung
ui_text_97	Accountants	Zähler
ui_text_100	Driver Management	Fahrermanagement
ui_text_105	Drivers App Configuration	Konfiguration der Fahrer-App
ui_text_106	Task Configuration	Aufgabenkonfiguration
ui_text_109	Define Shift Patterns	Dienstmuster definieren
ui_text_117	Types of chargers	Ladegerätetypen
ui_text_118	GoalBus Ops logo	GoalBus Ops Logo
ui_p3_3	There are no Operational Years yet	Es gibt noch keine Betriebsjahre
ui_p3_6	Create an Operating Year to begin planning. If you do not define Operating Years, the system will use January 1 to December 31 of each calendar year.	Erstellen Sie ein Betriebsjahr, um mit der Planung zu beginnen. Wenn Sie keine Betriebsjahre definieren, verwendet das System den 1. Januar bis 31. Dezember jedes Kalenderjahres.
ui_p3_7	Results: 0	Ergebnisse: 0
ui_p3_8	1 - 0 of 0	1 - 0 von 0
ui_p3_13	Defines annual operational planning cycles.	Definiert jährliche operative Planungszyklen.
ui_text_120	Drivers App Configuration	Konfiguration der Fahrer-App
ui_text_121	Task Configuration	Aufgabenkonfiguration
ui_text_125	Define Shift Patterns	Dienstmuster definieren
ui_text_131	Time Management	Zeitmanagement
ui_text_132	Day Type Management	Tagestypverwaltung
ui_text_133	Driver Management	Fahrermanagement
ui_text_134	Operational Year Management	Betriebsjahresverwaltung
ui_text_135	GoalBus	GoalBus
ui_text_138	Go to general preferences	Zu den allgemeinen Einstellungen gehen
ui_text_140	Personal	Personal
ui_text_142	Training / Hello Consultant	Schulung / Hallo Berater
ui_text_146	13 Dec 2026	13. Dez. 2026
ui_text_147	15 Dec 2025	15. Dez. 2025
ui_text_148	2026	2026
ui_text_149	Year 2026	Jahr 2026
ui_text_150	Vehicle Assignment	Fahrzeugzuweisung
ui_text_154	Personnel Operations	Personalbetrieb
ui_text_159	arrow_back	
ui_text_160	arrow_downward	
ui_text_161	chevron_left	
ui_text_162	chevron_right	
ui_text_163	expand_more	
ui_text_164	first_page	
ui_text_165	last_page	
ui_text_166	warning	
ui_text_171	Stop Configuration	
ui_text_172	Parking Configuration	
ui_text_173	Segment Configuration	
ui_text_182	Testing / Hello Consultant	Testen / Hallo Berater
ui_text_185	Empty Trips and Deadheads	Leerfahrten und Dienstfahrten
ui_text_186	alt_route	
ui_text_187	arrow_upward	
ui_text_188	bolt	
ui_text_189	commit	
ui_text_190	filter_alt	
ui_text_191	garage_home	
ui_text_192	hub	
ui_text_193	inventory	
ui_text_194	left_panel_open	
ui_text_195	link_off	
ui_text_196	list	
ui_text_197	local_parking	
ui_text_198	location_on	
ui_text_199	map	
ui_text_200	notifications	
ui_text_204	UNI	UNI
ui_text_205	UNIVERSIDAD	UNIVERSITÄT
ui_text_206	close	
ui_text_207	mistake	
ui_text_208	Color	Farbe
ui_text_209	Create Line	Linie erstellen
ui_text_214	L1: TN-TS	L1: TN-TS
ui_text_215	L1: North Terminal - South Terminal	L1: Nordterminal - Südterminal
ui_text_217	0.0 km	0,0 km
ui_text_222	L1 - 1 / L1 - 1	
ui_text_223	Map	Karte
ui_text_224	Mapbox homepage	
ui_text_226	Stops: 2	Haltestellen: 2
ui_text_227	By: user.consultant@otto.com	Von: user.consultant@otto.com
ui_text_231	NORTH TERMINAL - SOUTH TERMINAL	NORDTERMINAL - SÜDTERMINAL
ui_text_234	add_circle	
ui_text_235	autorenew	
ui_text_236	drag_indicator	
ui_text_237	home_pin-fill	
ui_text_238	more_horiz	
ui_text_239	peace	
ui_text_240	step_into	
ui_text_241	step_out	
ui_text_242	timer	
ui_text_243	tune	
ui_text_244	Last update: 12/04/2026	Letzte Aktualisierung: 12.04.2026
ui_text_245	Testing / Hello	
ui_text_248	Entrance	Eingang
ui_text_249	Regulation	Regelung
ui_text_252	NORTH TERMINAL	NORDTERMINAL
ui_text_253	donated	
ui_text_254	history_toggle_off	
ui_text_255	Maximum Capacity	Maximale Kapazität
ui_text_256	Deposit	Depot
ui_text_258	Types of Vehicles Admitted	Zugelassene Fahrzeugtypen
ui_text_259	GoalBus - Translatable Button	GoalBus - Übersetzbare Schaltfläche
ui_text_260	Start/End Locations Drivers	Start/Endorte Fahrer
ui_text_261	New Deposit	Neues Depot
ui_text_262	left_panel_close	
ui_text_263	Extracted Button: New Deposit	Extrahierte Schaltfläche: Neues Depot
ui_text_264	DEPOSIT	DEPOT
ui_text_265	DPT1	DPT1
ui_text_266	Ability	Fähigkeit
ui_text_268	PRK1	PRK1
ui_text_269	Parking 1	Parkplatz 1
ui_text_270	Following	Folgend
ui_text_273	Total Capacity	Gesamtkapazität
ui_text_276	Establishes the maximum capacity and types of vehicles allowed. You can skip this step and complete it later.	Legt die maximale Kapazität und die zugelassenen Fahrzeugtypen fest. Sie können diesen Schritt überspringen und später abschließen.
ui_text_277	Finish	Abschließen
ui_text_278	Select the types of vehicles allowed and define the optimal and maximum capacity for each one.	Wählen Sie die zugelassenen Fahrzeugtypen aus und definieren Sie die optimale und maximale Kapazität für jeden Typ.
ui_text_279	Vehicle Types and Limits	Fahrzeugtypen und Grenzwerte
ui_text_280	edit	
ui_text_281	Driver Movements	Fahrerbewegungen
ui_text_283	New Empty Trip Matrix	Neue Leerfahrten-Matrix
ui_text_286	Extracted Button: New Empty Trip Matrix	Extrahierte Schaltfläche: Neue Leerfahrten-Matrix
ui_p2_289	Type of Day	Tagesart
ui_p7_290	1 Selected	1 ausgewählt
ui_p7_291	Made	Erstellt
ui_p6_292	Company Deposit	Unternehmensdepot
