key	ES	EN
ui_text_1111	abr 29º	Apr 29th
ui_text_1180	Trabajando sin solape (0)	Working without overlap (0)
ui_text_1182	abr 29º	Apr 29th
ui_text_1183	ma. abr 14, 2026	Tue Apr 14, 2026
ui_text_1187	01 abr 2026	Apr 01, 2026
ui_text_1115	Administra	Manage
ui_text_1120	No hay asignaciones	No assignments
ui_text_1106	Busca por número de matrícula:	Search by license plate number:
ui_text_1110	Tareas Sin Asignar	Unassigned Tasks
ui_text_1109	Sin asignar (55)	Unassigned (55)
ui_text_1112	Sin Asignar	Unassigned
ui_text_1113	Detalles	Details
ui_text_1114	Eventos	Events
ui_text_1118	Confirmar	Confirm
ui_text_1119	Descartar	Discard
ui_text_1100	Inicio	Start
ui_text_1101	Fin	End
ui_text_1102	Hola	Hello
ui_text_1185	Última modificación por:	Last modified by:
ui_text_1186	Última modificación:	Last modified:
ui_text_1188	Consultant comenzó a editar la Celda de Roster a las 08:31	Consultant started editing the Roster Cell at 08:31
